"Level","Diversity","Value"
"Gene","Observed",5
"Gene","Chao1",5
"Gene","se.chao1",0
"Gene","ACE",NA
"Gene","se.ACE",NA
"Gene","Shannon",1.4125648947275
"Gene","Simpson",0.732828365995415
"Gene","InvSimpson",3.74291231823973
"Gene","Fisher",0.446340377261427
"One-field","Observed",6
"One-field","Chao1",6
"One-field","se.chao1",0
"One-field","ACE",NA
"One-field","se.ACE",NA
"One-field","Shannon",1.63249814597356
"One-field","Simpson",0.787561385467695
"One-field","InvSimpson",4.70724214710943
"One-field","Fisher",0.543402442214246
"Two-field","Observed",4
"Two-field","Chao1",4
"Two-field","se.chao1",0
"Two-field","ACE",NA
"Two-field","se.ACE",NA
"Two-field","Shannon",1.33434886279085
"Two-field","Simpson",0.724498561852626
"Two-field","InvSimpson",3.62974511757383
"Two-field","Fisher",0.385655061267054
